[2026-05-12] | [Emploi.ma] | 🪵 Vous êtes commercial dans le bois ou les matériaux ? Une belle opportunité vous attend à Casablanca ! Développez votre carrière dès aujourd'hui. 🚀 ↗ | https://www.interactjob.ma/offres/commercial-bois-casablanca-casablanca
[2026-05-12] | [Dreamjob.ma] | 🚀 MintHR recrute des talents IT à Casablanca ! Backend, Frontend, Lead Dev & QA Engineer bienvenus. Postulez dès maintenant ! 💻 ↗ | https://www.interactjob.ma/offres/minthr-recrute-backend-frontend-lead-developers-et-qa-engineer-casablanca-casabl
[2026-05-12] | [Dreamjob.ma] | 🎓 L'UEMF recrute 21 profils à Fès ! Enseignants, chercheurs et administratifs, votre place est ici. Postulez maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/luemf-recrute-21-profils-a-fes-des-maintenant-fes
[2026-05-12] | [Dreamjob.ma] | 🌟 Dreamjob.ma recrute à Marrakech & Témara ! Esthéticienne, Ingénieur Cosmétique, VRD, Déchets Solides. Votre prochain défi vous attend ! 🚀 ↗ | https://www.interactjob.ma/offres/recrutement-estheticienne-ingenieur-cosmetique-technicien-vrd-ingenieur-etudes-d
[2026-05-12] | [Dreamjob.ma] | 🚗 M-AUTOMOTIV ouvre 7 postes à Casablanca ! Rejoignez un leader automobile (Renault, Dacia, Alpine). Débutants acceptés. Postulez dès aujourd'hui ! 🎯 ↗ | https://www.interactjob.ma/offres/7-postes-ouverts-chez-m-automotiv-a-casablanca-casablanca
[2026-05-12] | [Dreamjob.ma] | ✈️ Swissport recrute à Casablanca ! 3 postes en finance, achats et outils de performance. Anglophone et ambitieux ? Postulez maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/offres-demploi-chez-swissport-3-postes-a-casablanca-casablanca
[2026-05-12] | [Dreamjob.ma] | 🍔 Tectra recrute des Agents de Restauration à Marrakech ! Grande chaîne fast-food en ouverture – profils polyvalents bienvenus. Postulez vite ! 🚀 ↗ | https://www.interactjob.ma/offres/tectra-recrute-des-agents-de-restauration-a-marrakech-marrakech
[2026-05-12] | [Dreamjob.ma] | 🚀 Orange Business recrute 9 profils expérimentés au Maroc ! Digital, cybersécurité, avant-vente… Postulez maintenant et boostez votre carrière à l'international ! 🌍 ↗ | https://www.interactjob.ma/offres/9-opportunites-hybrides-chez-orange-business-casablanca
[2026-05-12] | [Dreamjob.ma] | 🐄 JIBAL recrute ! Superviseur Commercial à Laâyoune & Technologue Junior à Fkih Ben Salah. Rejoignez un leader du lait au Maroc. Postulez maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/postes-ouverts-chez-jibal-pour-profils-experimentes-laayoune
[2026-05-12] | [Dreamjob.ma] | ⚡ 428 postes à l'ONEE Électricité Maroc ! Cadres, ingénieurs & techniciens, ne ratez pas ce concours majeur. Postulez avant le 20 avril 2026 ! 🇲🇦 ↗ | https://www.interactjob.ma/offres/liste-des-convoques-concours-onee-branche-electricite-2026-428-postes-maroc
[2026-05-12] | [Dreamjob.ma] | 🚀 LabelVie recrute sur 5 villes au Maroc ! 20 postes ouverts pour profils expérimentés et à potentiel. Votre prochaine opportunité vous attend ! 🎯 ↗ | https://www.interactjob.ma/offres/labelvie-ouvre-20-postes-a-saisir-dans-plusieurs-villes-casablanca
[2026-05-12] | [Dreamjob.ma] | 🌟 Hyatt Regency Casablanca recrute ! HK Assistant Manager & Directeur Financier recherchés. Postulez dès maintenant ! 🏨 ↗ | https://www.interactjob.ma/offres/postes-a-pourvoir-chez-hyatt-regency-casablanca-casablanca
[2026-05-13] | [Emploi.ma] | 📋 Opportunité : Assistante Administrative à Mohammedia ! Accueil, gestion agenda & documents. Vous êtes organisée et rigoureuse ? Postulez vite ! 🚀 ↗ | https://www.interactjob.ma/offres/assistante-administrative-mohammedia-casablanca
[2026-05-13] | [Emploi.ma] | 📊 Opportunité à Casablanca : Contrôleur de Gestion H/F recherché ! Pilotez la performance financière d'une entreprise industrielle. Postulez dès aujourd'hui ! 💼 ↗ | https://www.interactjob.ma/offres/controleur-de-gestion-hf-casablanca-casablanca
[2026-05-13] | [Emploi.ma] | 💼 Opportunité à Casablanca : Gestionnaire de Paie recherché ! Maîtrisez la paie et la conformité sociale ? Postulez dès maintenant et propulsez votre carrière RH ! 🚀 ↗ | https://www.interactjob.ma/offres/gestionnaire-de-paie-casablanca-casablanca
[2026-05-13] | [Dreamjob.ma] | 🏭 Maghreb Steel recrute 5 profils à Casablanca ! Commercial, Ingénieur R&D, Qualité… Votre carrière industrielle commence ici. Postulez maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/5-opportunites-a-saisir-chez-maghreb-steel-des-maintenant-casablanca
[2026-05-13] | [Dreamjob.ma] | 💳 CMI recrute à Casablanca, Rabat & Essaouira ! Bac+3 + expérience support/relation client requis. Saisissez cette opportunité fintech ! 🚀 ↗ | https://www.interactjob.ma/offres/cmi-recrute-plusieurs-profils-a-rabat-casablanca-et-essaouira-casablanca
[2026-05-13] | [Dreamjob.ma] | 🏦 Le Crédit Agricole du Maroc recrute dans la Région Orientale ! Métiers bancaires, relation client, développement commercial. Saisissez cette opportunité ! 🚀 ↗ | https://www.interactjob.ma/offres/plusieurs-postes-ouverts-au-credit-agricole-dans-la-region-oriental-maroc
[2026-05-13] | [Dreamjob.ma] | 🚗 Hirschmann Automotive recrute à Oujda & Kénitra ! Trainer et Injection Molding Engineer recherchés. Postulez maintenant et boostez votre carrière automobile ! 🎯 ↗ | https://www.interactjob.ma/offres/nouvelle-opportunite-chez-hirschmann-automotive-a-oujda-et-kenitra-oujda
[2026-05-13] | [Dreamjob.ma] | 🏥 CIM Santé recrute à Tanger ! Profils biomédicaux, admin & paramédicaux recherchés. Rejoignez une clinique en plein essor. Postulez dès maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/cim-sante-lance-une-campagne-de-recrutement-a-tanger-tanger
[2026-05-13] | [Dreamjob.ma] | 🚀 Étudiants en marketing, RIBATIS vous ouvre ses portes à Rabat ! Stage PFA 2 mois dans la transformation digitale & eGOV. Postulez maintenant ! 💡 ↗ | https://www.interactjob.ma/offres/stages-pfa-a-saisir-chez-ribatis-des-maintenant-rabat
[2026-05-13] | [Dreamjob.ma] | 🚧 Opportunités CDI à Salé dans le BTP ! Construction routière recrute Assistante de Direction, Achats & Génie Civil. Expérimentés, c'est pour vous ! 👷 Postulez vite ! ↗ | https://www.interactjob.ma/offres/societe-de-construction-routiere-recrute-plusieurs-profils-a-sale-en-cdi-maroc
[2026-05-13] | [Dreamjob.ma] | 🏭 Varun Beverages Morocco recrute à Bouskoura ! 3 postes techniques pour le lancement Cheetos. Profils agroalimentaires, postulez maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/3-postes-ouverts-chez-varun-beverages-morocco-a-bouskoura-maroc
[2026-05-13] | [Dreamjob.ma] | 🚀 Wafacash recrute des commerciaux terrain en CDI partout au Maroc ! Développez un réseau physique avec une filiale d'Attijariwafa bank. Postulez maintenant ! 💼 ↗ | https://www.interactjob.ma/offres/offres-demploi-chez-wafacash-pour-profils-commerciaux-terrain-maroc
[2026-05-13] | [Dreamjob.ma] | 🚀 Barid Al-Maghrib recrute 6 profils à Rabat ! Bac+2/Bac+3 en communication, finance, audiovisuel… Postulez vite au concours 2026 ! 📩 ↗ | https://www.interactjob.ma/offres/concours-de-recrutement-poste-maroc-2026-6-postes-rabat
[2026-05-13] | [Dreamjob.ma] | 🎯 Le HCP recrute 20 Techniciens par concours ! Date limite : 1er juin 2026. Une carrière stable dans la fonction publique vous attend. Postulez dès maintenant ! 📋 ↗ | https://www.interactjob.ma/offres/concours-de-recrutement-haut-commissariat-au-plan-hcp-2026-20-techniciens-maroc
[2026-05-13] | [Dreamjob.ma] | 🚀 Tessi recrute à Oujda ! Customer Success Manager & Assistant(e) Juridique recherchés. Évoluez dans un groupe international de référence. Postulez maintenant ! 💼 ↗ | https://www.interactjob.ma/offres/tessi-recrute-2-profils-a-oujda-des-maintenant-oujda
[2026-05-13] | [Dreamjob.ma] | 🏗️ Concours de recrutement à Marrakech ! 4 postes en génie civil, finance et achats. Candidatez avant le 26/05/2026. 🚀 ↗ | https://www.interactjob.ma/offres/concours-de-recrutement-societe-de-developpement-amenagement-marrakech-2026-4-po
[2026-05-13] | [Dreamjob.ma] | 🏨 Hilton Tanger recrute le 18 mai ! Hôtellerie, restauration, accueil – débutants acceptés. Ne ratez pas cette opportunité en or ! 🚀 ↗ | https://www.interactjob.ma/offres/hilton-houara-tanger-lance-une-journee-de-recrutement-tanger
[2026-05-13] | [Dreamjob.ma] | 🏟️ La SDR Casa Région Sport recrute 4 cadres pour le Mondial 2026 ! Responsable SI, Maintenance, Exploitation & Directeur Support. Candidatez avant le 26/05 ! 🚀 ↗ | https://www.interactjob.ma/offres/concours-de-recrutement-societe-de-developpement-regional-casa-region-sport-2026
[2026-05-13] | [Dreamjob.ma] | 💼 Marrakech recrute ! Bookkeeper & Coordinator en CDI – 5500 DH. Compétences compta ou coordination ? Postulez maintenant ! 📩 ↗ | https://www.interactjob.ma/offres/bookkeeper-and-coordinator-jobs-in-marrakesh-now-available-maroc
[2026-05-13] | [Dreamjob.ma] | 🚗 Lear Maroc recrute à Rabat & Meknès ! Production Supervisor et Engineering R&D Leader recherchés. Évoluez dans l'automobile mondiale. Postulez maintenant ! 🌍 ↗ | https://www.interactjob.ma/offres/lear-maroc-lance-un-recrutement-de-profils-experimentes-rabat
[2026-05-13] | [Dreamjob.ma] | 🌟 L'Oréal Maroc recrute 6 profils à Casablanca ! Marketing, formation, trade marketing... Votre carrière dans la beauté commence ici. Postulez vite ! 💼 ↗ | https://www.interactjob.ma/offres/6-postes-ouverts-chez-loreal-maroc-des-maintenant-casablanca
[2026-05-13] | [Dreamjob.ma] | ✈️ Figeac Aéro Maroc recrute des Magasiniers en CDI à Nouaceur ! Bac + expérience industrielle souhaitée. 📦 Postulez dès maintenant sur Dreamjob.ma ! ↗ | https://www.interactjob.ma/offres/magasiniers-recherches-chez-figeac-aero-maroc-des-maintenant-maroc
[2026-05-13] | [Dreamjob.ma] | 🌡️ Ariha Froid recrute à Marrakech ! 4 postes ouverts : RAF, Comptable, Commercial & Assistant Technique. Postulez dès maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/recrutement-a-marrakech-4-postes-ouverts-raf-comptable-confirme-commercial-assis
[2026-05-13] | [Dreamjob.ma] | 🚗 Gestionnaire Chauffeurs VTC recherché à Marrakech ! Gérez une flotte VTC pour la France. Français courant exigé. Postulez vite ! 📩 ↗ | https://www.interactjob.ma/offres/recrutement-dune-gestionnaire-de-chauffeurs-vtc-a-marrakech-avec-parfaite-maitri
[2026-05-13] | [Dreamjob.ma] | 🔬 L'UEMF Fès recrute un Chercheur Postdoctoral en IA & Capteurs Ultrasonores ! Une chance unique de faire avancer la science au Maroc. Postulez maintenant 🚀 ↗ | https://www.interactjob.ma/offres/uemf-recrute-un-chercheur-postdoctoral-reseaux-de-capteurs-ultrasonores-et-intel
